,number_of_firms,beta,cost_of_equity,ede,std_dev_in_stock,cost_of_debt,tax_rate,aftertax_cost_of_debt,dde,cost_of_capital,average_unlevered_beta,average_correlation_with_the_market,total_unlevered_beta,total_levered_beta,de_ratio,unlevered_beta,cashfirm_value,hilo_risk,standard_deviation_of_equity,standard_deviation_in_operating_income_last_10_years,2019,20200,20210,20220,average_201923,total_taxable_income,total_taxes_paid_accrual,total_cash_taxes_paid,cash_taxesaccrual_taxes,average_across_only_moneymaking_companies,aggregate_tax_rate,average_across_only_moneymaking_companies,aggregate_tax_rate
Advertising,362,1.2935834925393561,0.14202796270464063,0.7344088338053408,0.39695739619251297,0.0695,0.14694787945259605,0.05235435,0.26559116619465917,0.11821144332952692,1.1743473424289956,0.21572536990748753,5.443714584578564,5.9964365484416655,0.36163939480207236,1.0166301121285481,0.1343020285414267,0.43289399542628587,0.39695739619251297,0.23176470937105792,0.91,0.96,1.16,1.18,1.0768694684857991,13474.739999999994,3378.401000000001,4627.522,1.3697373402387694,0.2507210528737477,0.31386741055720513,0.34342198810515095,0.42568464529897837
Aerospace/Defense,278,1.1580552633554024,0.13121281001576113,0.8114468320969139,0.36229340257411924,0.0695,0.10206462903742386,0.05235435,0.18855316790308607,0.11634379756383052,1.0573692747052328,0.2414807255816536,4.378690150770219,4.795642635932949,0.23236663259357768,0.9855439004775599,0.06792837275103915,0.38676516987379195,0.36229340257411924,0.15574359636043889,1.06,1.05,1.53,1.11,1.1614738549410466,51310.83099999999,8396.288000000004,11886.357999999995,1.4156682095707043,0.16363578286229677,0.20908946172885604,0.23165397574636817,0.4165584386797377
Air Transport,155,1.2354206917515256,0.13738657120177172,0.4762317771885619,0.3086331186196793,0.0695,0.08716398137962099,0.05235435,0.5237682228114381,0.09284939582121066,0.7616142271729274,0.25083390654816307,3.0363288506479824,4.925253960888698,1.099817878394231,0.6756497408604828,0.11287142918999861,0.3264776350320894,0.3086331186196793,2.1960734897196814,0.59,0.65,1.27,0.94,0.8423228454345854,23352.161999999997,3055.3269999999993,2798.8680000000013,0.9160616850504061,0.1308370077254517,,0.11985476976393028,
Apparel,1146,0.9023788899541185,0.11080983541833865,0.8463814759814549,0.34781354412233134,0.0695,0.1492327301321428,0.05235435,0.15361852401854514,0.10182999002758587,0.8419360205243345,0.17720960224116775,4.751074489623472,5.0921557214831665,0.1815003380602237,0.7938415371593289,0.05712367946326089,0.36521925608529593,0.34781354412233134,0.2771491086282674,0.75,0.7,0.7,0.9,0.7783872041048668,91004.79399999983,21642.635999999973,23136.400000000005,1.06901950390886,0.23781863623580107,0.2518693334745021,0.25423276052907773,0.27091349958558736
Auto & Truck,154,1.3526231349119202,0.14673932616597124,0.5757240705920758,0.33896789399772925,0.0695,0.11318086969170088,0.05235435,0.42427592940792425,0.10669405268100901,1.033835592637108,0.26259514039492027,3.9369943826161786,5.150983117500547,0.7369431835142799,0.8697761896886117,0.15869003168096918,0.4343868780141905,0.33896789399772925,0.2180467423389655,0.8,0.85,1.57,1.11,1.0727671185274217,179963.0550000001,38450.448999999986,40404.29900000001,1.0508147512139592,0.21365745874896358,0.22614765567136258,0.22451440936029893,0.2477618873561772
Auto Parts,746,1.413010159958089,0.1515582107646555,0.7394409527872077,0.31499751482799093,0.0695,0.1687494452117387,0.05235435,0.2605590472127923,0.12570974732398635,1.2875467841381958,0.2531935510713117,5.085227402871567,5.580750986663623,0.3523730275293185,1.1166133952889368,0.13275897307581822,0.33005617851029734,0.31499751482799093,0.21698771124047206,1.09,1.11,1.38,1.44,1.2615093568276392,38778.724000000046,9984.264000000005,12794.260999999997,1.281442578040804,0.2574675742296212,0.3108733047648698,0.3299299120827179,0.3727993660034192
Bank (Money Center),596,0.875215474102932,0.10864219483341397,0.2497440262204358,0.21675380851065218,0.0618,0.20949352175828576,0.04655394,0.7502559737795642,0.06206011074309724,0.4376114721606776,0.22894368062918363,1.9114372187868762,3.8228418085079374,3.0040997782159278,0.2682251288561191,0.3870701617309634,0.23431772612275084,0.21675380851065218,0.4375550151286764,0.38,0.4,2.03,0.59,0.7675222944321354,959451.5970000018,179199.96599999993,193089.41399999996,1.0775080950629201,0.18677332609619868,,0.2012497708104806,
Banks (Regional),800,0.563870289429285,0.08379684909645693,0.3408055194543923,0.17830180346656344,0.0618,0.19185771795778675,0.04655394,0.6591944805456077,0.05924652898061072,0.3577565862282306,0.2479673124010237,1.4427570423058456,2.2739702421638905,1.9342247789910672,0.22949062462033154,0.3585285821295037,0.18070867842041288,0.17830180346656344,,0.47,0.46,1.67,0.67,0.725551317245646,138875.9220000001,27533.261,46471.007000000034,1.6878134050303752,0.19825798888305474,0.19860137843458578,0.33462249129118293,0.3360471645244684
Beverage (Alcoholic),220,0.8721564431804729,0.10839808416580174,0.8592841751109199,0.2857195762521225,0.0695,0.17138891309925858,0.05235435,0.14071582488908008,0.10051184388279663,0.810718193165097,0.20949462473061736,3.8698758701211275,4.163144731288222,0.16375935803881858,0.7763820163319782,0.0423527893201312,0.29705625475632036,0.2857195762521225,0.14460102415426296,0.8,0.8,0.9,0.86,0.8341436386330194,73219.20200000003,17436.25,28430.762999999988,1.630554907161803,0.23813766776644182,0.2392874897588812,0.38829654275663883,0.39041643860943825
Beverage (Soft),100,0.8559001919036798,0.10710083531391365,0.8667150226800464,0.31052361417890234,0.0695,0.13376209970213782,0.05235435,0.1332849773199536,0.0998039512605015,0.7947183264713243,0.18876463765397603,4.210101724286519,4.534218922257188,0.15378177813026855,0.7670430051007482,0.03482406338036651,0.4035093024041419,0.31052361417890234,0.12436888236636623,0.68,0.71,0.54,0.82,0.7089436652942649,37120.05399999999,7412.084,7338.795999999999,0.9901123624610838,0.19967869658810308,0.20304484018677374,0.19770434601199668,0.200424259071901
Broadcasting,135,1.0569743272387224,0.12314655131365004,0.5535880447646953,0.3471662204267433,0.0695,0.16495354784780936,0.05235435,0.44641195523530475,0.09154406630981221,0.7444295667373665,0.23166542437437565,3.2133822677585,4.562503576410402,0.8063973914484621,0.6575435052053346,0.11671495251435286,0.3710090994473476,0.3471662204267433,0.141123143694193,0.61,0.69,0.74,0.81,0.7188859133474733,20179.593000000015,4795.892999999999,3663.7369999999996,0.763932181139154,0.23766054151835447,0.24817881371153214,0.181556535852829,0.19445538393470913
Brokerage & Investment Banking,592,0.9914624277631093,0.11791870173549612,0.2942221168151078,0.349876137221484,0.0695,0.14882513818935492,0.05235435,0.7057778831848922,0.07164483235522795,0.4509503326169772,0.20370470647222022,2.2137452807379026,4.867155231380567,2.3987927584261453,0.3532093655395008,0.21674441730702626,0.36889500437836986,0.349876137221484,0.6011560183139996,0.42,0.44,0.42,0.45,0.4361900665233954,98927.16799999992,20017.870999999977,28582.45600000003,1.4278469473601896,0.2023495810574502,0.20873281289015827,0.2889242316124935,0.29899789913966573
Building Materials,454,1.1065292223300869,0.12710103194194095,0.7982290632311924,0.29868072216447483,0.0695,0.17672316160144674,0.05235435,0.20177093676880764,0.11201932390615539,0.9975517318295956,0.24558994140597112,4.061859073375477,4.505596670593869,0.25277322771492267,0.9295330490038726,0.06818561950764288,0.32808663804141985,0.29868072216447483,0.278655595945401,0.81,0.83,1.04,1.05,0.9455103463659192,48661.26800000001,10531.035,11779.458999999983,1.1185471323568845,0.2164151373942824,0.22386475827646887,0.24207053133099574,0.2536845988350515
Business & Consumer Services,961,1.094243034645496,0.12612059416471058,0.8112944661921118,0.35508042862954164,0.0695,0.16395074692763018,0.05235435,0.18870553380788824,0.11220049568260584,0.9967488441793113,0.22517320222193063,4.426587330746916,4.859561545725191,0.23259807834459384,0.9310993990484501,0.06586357788547506,0.38221100036956196,0.35508042862954164,0.17728507138172875,0.92,0.88,0.64,1.04,0.8953497688358624,48424.20499999998,11692.833999999988,13167.578000000016,1.126123743824639,0.24146672103341693,0.30701685547511953,0.27192140789921115,0.354003664302687
Cable TV,54,1.023983376282326,0.12051387342732961,0.5054901819523565,0.26282180998895055,0.0695,0.13227912597836108,0.05235435,0.4945098180476435,0.08680831989906676,0.6054329946472208,0.24953774045083194,2.426218148619139,4.103521072332898,0.9782777899616105,0.5895340920300889,0.02626038349032505,0.33376491168446265,0.26282180998895055,0.23694928995702935,0.72,0.79,1.13,0.72,0.7930865989294441,31190.930999999997,8855.317999999997,7963.904000000001,0.8993357437869542,0.2839068189404157,0.29504040766774237,0.2553275501779669,0.2716460585196245
Chemical (Basic),879,1.1399114789559386,0.1297649360206839,0.7294815581304673,0.3264943738808307,0.0695,0.15722778869143017,0.05235435,0.27051844186953267,0.10882394490616107,0.9877865839791308,0.2028815939025555,4.868783633736469,5.618604709421993,0.37083657407710724,0.8910074784392419,0.09797572381478462,0.3404058068165154,0.3264943738808307,0.4060127467759213,0.95,0.9,1.04,1.02,0.9795573167958261,102204.15200000006,19247.61200000002,25160.652999999973,1.3072090709226656,0.18832514749498638,0.1853022132364499,0.2461803410882951,0.253641224685957
Chemical (Diversified),68,1.1958248741877604,0.1342268249601833,0.6571206031117857,0.2492126497097023,0.0618,0.21226360049674067,0.04655394,0.34287939688821434,0.10416559904158584,0.9419506953199124,0.2564821611783529,3.672577815908599,4.662409536373979,0.521790665616804,0.8584128901454968,0.08868596370221245,0.2464576111331997,0.2492126497097023,0.20076155432781934,0.96,0.95,1.08,1.15,1.0163901390639825,28775.989999999994,6362.215999999998,6057.0019999999995,0.9520270924470344,0.22109460004677506,0.22700876646764298,0.21048804923827125,0.21215134704677507
Chemical (Specialty),922,1.1068628177675968,0.1271276528578542,0.8254092060846219,0.3414918749663052,0.0695,0.15929122981267427,0.05235435,0.17459079391537813,0.11407292254822643,1.0212013193407876,0.21904965742217225,4.661962640610921,5.0530223639398395,0.21152028912248275,0.95473675024367,0.06508468784590125,0.3576947397473422,0.3414918749663052,0.2341145808219371,1.04,0.98,1.15,1.04,1.0462402638681576,149636.57800000018,32502.679000000004,29469.601999999995,0.9066822461003904,0.2172107878596366,0.23068685635436043,0.19694116501381073,0.21031820189168585
Coal & Related Energy,212,1.211961212621946,0.13551450476723126,0.8044495474504884,0.5872695030181825,0.0733,0.09540978288399324,0.05521689,0.19555045254951164,0.11981226986085283,1.3528350871710502,0.1897412359313511,7.129894988459491,6.387442385272735,0.24308603711601592,1.0243800975641317,0.24279011737769118,0.4816592094866767,0.5872695030181825,0.5253174716449277,1.23,1.27,1.84,1.09,1.3565670174342102,94893.41499999998,21905.987999999998,31009.998,1.4155945853709042,0.23084834706391377,0.2343017050020474,0.32678767014549964,0.33193568526783274
Computer Services,1105,1.088247192028082,0.12564212592384094,0.8595017006129042,0.33786373564723465,0.0695,0.16622237475120769,0.05235435,0.1404982993870958,0.11534531804067875,1.0374271307252976,0.21705384905448336,4.779584122762503,5.013719852325299,0.16346483001360837,0.968934482968661,0.06602164694570047,0.35715290547034784,0.33786373564723465,0.09737003720097796,1.01,0.98,0.77,1.09,0.9774854261450596,70628.81200000009,16269.707999999997,18802.15100000007,1.155653869141356,0.23035511343444337,0.25445675532397627,0.26621077811701044,0.300354262467518
Computers/Peripherals,333,1.2620051937696362,0.13950801446281696,0.8940778678714469,0.3292446932773343,0.0695,0.14043645453746695,0.05235435,0.10592213212855306,0.1302765125000989,1.2200041411476166,0.2301245862912581,5.301494120248036,5.484008528199478,0.11847081326453635,1.1586064463471801,0.05032580851953635,0.3545611382309401,0.3292446932773343,0.23120092269843923,1.35,1.35,0.64,1.33,1.1780008282295233,198254.489,37081.875,36789.650999999976,0.9921194923395857,0.1870417925316183,0.1888941751861649,0.18556780825275526,0.18858868322656744
Construction Supplies,790,1.1168579550772775,0.12792526481516675,0.6886676748143353,0.30150511958275444,0.0695,0.1483432166349078,0.05235435,0.31133232518566467,0.1043975961893531,0.9372739963088855,0.22862134288312178,4.09967846610038,4.885186750251264,0.45207919083700254,0.8331333482129638,0.11111014335833697,0.3322058298976089,0.30150511958275444,0.27895350928864227,0.92,0.96,1.04,1.02,0.975454799261777,98650.71999999999,21788.625999999967,28002.95599999998,1.2852098154330622,0.2208663656991046,0.24476843745257168,0.28385962109551743,0.31909167471613886
Diversified,314,0.9639252546213195,0.1157212353187813,0.6414180111165997,0.27349373371508195,0.0695,0.13386535096563182,0.05235435,0.3585819888834003,0.09299901155182635,0.7347087450687306,0.22465874729100332,3.2703322435829887,4.290619734350851,0.5590457122636298,0.6782812559737097,0.07680252817698845,0.31288662420834684,0.27349373371508195,0.30084069653566187,0.66,0.69,1.32,0.82,0.8449417490137462,160491.93500000006,27527.469999999994,34272.828999999976,1.2450410081275172,0.1715193352239163,0.17074639582935494,0.2135486060405463,0.2426818537043495
Drugs (Biotechnology),1267,1.268267613064147,0.14000775552251893,0.8860427545661388,0.5169419464088241,0.0733,0.02474659263605265,0.05521689,0.11395724543386121,0.1303452220496197,1.2526532845890637,0.2087269961984611,6.001395638339087,6.076203060280028,0.12861370949267759,1.1562451409461891,0.07696315080074337,0.5632862969515499,0.5169419464088241,0.27352353873626795,1.38,1.4,0.82,1.1,1.1905306569178127,75626.82900000001,11189.650000000014,16237.587999999992,1.451125638424792,0.14795873564922327,1.7801902828793676,0.21470671472950412,2.7959378493289107
Drugs (Pharmaceutical),1352,1.0635869533243638,0.12367423887528423,0.8684708350986906,0.44281720798926644,0.0695,0.09803387200596683,0.05235435,0.1315291649013094,0.11429359345066391,0.995463542798184,0.17811866237735782,5.5887661040774015,5.971226928883368,0.1514491443876325,0.9546716697709774,0.040977766913033724,0.46716692912715696,0.44281720798926644,0.13307325508475168,1.19,1.2,1.13,1.02,1.1070927085596367,224060.1340000001,31509.74599999997,55436.3310000001,1.759339189849393,0.14063075584878457,0.15316169969887955,0.24741720006290843,0.2869647466617658
Education,251,0.8787672588238772,0.1089256272541454,0.7525824998224298,0.34117555150021905,0.0695,0.13161523431932237,0.05235435,0.24741750017757025,0.0949289032540725,0.7917217099759216,0.17091524078885767,4.6322475767622455,5.141538313189247,0.32875797701374654,0.704336052010734,0.1103742096043384,0.39612774648641985,0.34117555150021905,0.18852611472125777,1.06,1.02,0.65,1.0,0.9043443419951842,4166.293999999999,843.3620000000001,1136.1579999999992,1.3471771315283343,0.2024249848906487,0.2681807194909555,0.27270231049465055,0.5757295825578194
Electrical Equipment,1045,1.1360186851537797,0.12945429107527162,0.8569825849180281,0.37245108102966507,0.0695,0.11696572849960604,0.05235435,0.14301741508197185,0.11842765679971393,1.102323689949516,0.20656084778341685,5.3365567665820395,5.499680589735562,0.16688485577061257,1.009153586070293,0.08452154728117099,0.38726373019236693,0.37245108102966507,0.16078797447321305,1.11,1.15,1.12,1.08,1.112464737989903,69979.48200000012,12675.945000000023,15737.804999999982,1.241548854937439,0.181138022713572,0.22527655553513667,0.22489170468566708,0.2866097656612874
Electronics (Consumer & Office),134,1.2725160060597946,0.1403467772835716,0.6928490529005363,0.34632531120576865,0.0695,0.12554756180518867,0.05235435,0.30715094709946367,0.11331981990584189,1.0955088212486108,0.23020983940279588,4.758740217579535,5.527635175633332,0.4433158215539302,0.953945941645626,0.12922112251149012,0.39500286560191095,0.34632531120576865,0.47045106420381544,1.3,1.3,1.59,1.19,1.295101764249722,17612.995999999996,3870.5649999999996,3870.54,0.9999935409946611,0.21975619593622803,0.22356257814977473,0.21975477652978523,0.22713109022500794
Electronics (General),1457,1.2955238162109064,0.14218280053363033,0.8365787529966175,0.33176265991369114,0.0695,0.12428122333870883,0.05235435,0.16342124700338245,0.1275029231310428,1.2905124151341338,0.23319201819932533,5.534119156818839,5.5556096054005275,0.19534472566749875,1.1293381186694775,0.12489170547646704,0.36160435904068144,0.33176265991369114,0.34834982762547273,1.36,1.38,0.64,1.31,1.1961024830268268,93688.47999999992,17903.948000000004,15539.966000000008,0.8679630883646448,0.19110084825797172,0.20709094955609994,0.16586848244309246,0.18669647729767694
Engineering/Construction,1269,1.0295667164846354,0.1209594239754739,0.48961529572436946,0.3227938598626329,0.0695,0.1588311227879249,0.05235435,0.5103847042756305,0.0859444435826939,0.7301374520654016,0.1946163443778,3.7516759160166857,5.2902376713334185,1.0424198523465928,0.5767057303880642,0.21014087312370036,0.35039244400634695,0.3227938598626329,0.2428759831648638,0.88,0.81,0.75,0.84,0.8020274904130803,98508.84400000017,22134.25,41142.12700000001,1.8587540576256258,0.224693023501524,0.251220015623351,0.4176490691536278,0.454626283309446
Entertainment,752,1.2013486787553214,0.13466762456467463,0.7911572318682967,0.42673745588286965,0.0695,0.0866058635012888,0.05235435,0.20884276813170333,0.11747709245060305,1.101640081025748,0.19692629814806423,5.594174528165105,6.1004989686652,0.2639712559266213,1.0020846082578625,0.090370234782297,0.4608806251245198,0.42673745588286965,0.22995171351257215,1.24,1.17,0.47,1.11,1.0183280162051496,36972.48300000001,8459.063999999998,9787.706000000015,1.1570672594509295,0.22879350569990112,0.38790570567984295,0.2647294746203552,0.5242391287813806
Environmental & Waste Services,370,1.0880867288276126,0.1256293209604435,0.7277392737388919,0.38236707668331305,0.0695,0.1268124842999089,0.05235435,0.2722607262611081,0.10567942414999154,0.89640526150774,0.18769922007255813,4.775753789287032,5.7969698990064815,0.3741185010701972,0.8488584871177863,0.0530416056572234,0.4035014250939548,0.38236707668331305,0.2558741755090889,0.98,1.01,0.96,0.9,0.949281052301548,15298.344999999998,3343.211,2814.1010000000015,0.8417359837593265,0.218534161701805,0.24883609915413302,0.18394806758508858,0.22292561063502375
Farming/Agriculture,426,0.8419168951866424,0.10598496823589405,0.6828517463261962,0.34158621718358206,0.0695,0.12620847194628598,0.05235435,0.31714825367380384,0.08897611131893379,0.659688782675045,0.16357866585037806,4.032853424042768,5.146862464061945,0.46444671977495844,0.6237032610312532,0.05454923986712373,0.37933135060562206,0.34158621718358206,0.19125534436034336,0.59,0.6,0.73,0.77,0.6699377565350091,45805.83900000002,9450.100999999995,9099.287999999999,0.9628773279777648,0.20630778097962557,0.23962828203824085,0.19864908489068378,0.2317916589333049
Financial Svcs. (Non-bank & Insurance),1089,0.8817936764299235,0.1091671353791079,0.1280673624757438,0.3312368784924336,0.0695,0.15559561784493603,0.05235435,0.8719326375242562,0.05963021357840285,0.15539901285715607,0.20922242048218775,0.7427455073840236,4.214623243520861,6.808390683374947,0.14387797457533422,0.07413842642882214,0.3565315219729359,0.3312368784924336,0.39895139421257997,0.13,0.15,0.3,0.2,0.18707980257143123,252735.04799999995,54844.4619999999,43737.75099999991,0.7974871008854092,0.21700378492815886,0.8621072614197816,0.17305771932351827,0.6714446849119876
Food Processing,1397,0.7960380934460616,0.10232383985699571,0.77523471166476,0.2917088789119689,0.0695,0.15179277832117272,0.05235435,0.22476528833524,0.09109243306132322,0.6918080464880533,0.16389694950019673,4.2209940367878716,4.856942706216177,0.289931919911807,0.6533440244655644,0.05559926950510412,0.3329647449279708,0.2917088789119689,0.17907144958602636,0.66,0.65,0.97,0.77,0.7483616092976108,121265.92100000015,24846.01499999997,28527.096000000016,1.1481557907777182,0.20488868426604323,0.2161377477824478,0.23524412930488509,0.24882123658164879
Food Wholesalers,169,0.6883974795696614,0.09373411886965897,0.5953272445320069,0.31458186609200384,0.0695,0.16633640918514456,0.05235435,0.4046727554679931,0.0769888537805454,0.4847061410486548,0.18214502217704137,2.6611001237109293,3.7793922191326894,0.6797484227117988,0.4552729320048669,0.06072382120042784,0.3326841843873748,0.31458186609200384,0.16080476386926493,0.6,0.52,0.43,0.6,0.526941228209731,7579.1590000000015,1758.6880000000012,1548.1650000000004,0.8802954247711927,0.23204263164290403,0.2232464323054371,0.2042660669871156,0.23001862982046045
Furn/Home Furnishings,362,1.0821054084407624,0.12515201159357284,0.795701591276555,0.30125928200266844,0.0695,0.1503942534844897,0.05235435,0.20429840872344496,0.11027956517121806,1.0884231491124254,0.21873419810632705,4.976008134692048,4.947124948037386,0.25675254512899254,0.9067327021109872,0.16692997309879082,0.3522607669321419,0.30125928200266844,0.30024526826088616,0.97,1.01,0.9,1.15,1.023684629822485,25483.761999999988,4948.050000000001,7227.878999999995,1.460753023918512,0.19416481758070114,0.2093932063174104,0.28362684441959546,0.30829102187175456
Green & Renewable Energy,248,1.0336423067859184,0.12128465608151628,0.6160885270092242,0.36974872492744715,0.0695,0.10379044597594156,0.05235435,0.38391147299077577,0.09482152074005634,0.7390903503257963,0.18402017404598153,4.016355022798305,5.617005375332598,0.6231433570991132,0.7034385023751756,0.048237469119851294,0.3831685284266511,0.36974872492744715,0.40322237432255803,0.65,0.59,0.75,0.76,0.6978180700651592,21624.495999999985,3501.923999999999,7318.0459999999985,2.089721535932819,0.16194245636985027,0.17159805145776688,0.338414638657937,0.35753920765549274
Healthcare Products,896,1.1305011645147018,0.1290139929282732,0.8838083781544379,0.43161496413982586,0.0695,0.07891798494831546,0.05235435,0.11619162184556209,0.12010678468633545,1.0775359783236322,0.22470067991105735,4.795428205869917,5.031142606965787,0.13146698392720899,1.0286315830635437,0.04538539431061142,0.4707134380076722,0.43161496413982586,0.3463949995352221,1.13,1.13,0.49,1.01,0.9675071956647263,67873.97900000005,12423.884000000005,16078.628999999994,1.2941708889104233,0.18304340165470476,0.23297349432770917,0.23688944182865693,0.30790490304534696
Healthcare Support Services,460,1.0131363720531945,0.11964828248984492,0.7851936792794759,0.38241271592555787,0.0695,0.14377854804790394,0.05235435,0.21480632072052408,0.105193120444886,0.920550044362433,0.1982083250777901,4.644356103615467,5.111472344340595,0.27357112823123925,0.8400233998354952,0.08747666139401478,0.4271733619949006,0.38241271592555787,0.2683147313053442,0.95,0.82,0.8,0.85,0.8681100088724865,88785.63299999991,20097.222000000005,23148.46700000002,1.1518242172972968,0.22635668993878802,0.26350850370246165,0.2607231172187514,0.3098492224698908
Heathcare Information and Technology,447,1.337779775787863,0.14555482610787146,0.8933934560972727,0.45081477143098153,0.0695,0.07725729610883207,0.05235435,0.10660654390272728,0.13561904545992257,1.2736117177372563,0.2535772015397059,5.022579750876501,5.275631120088645,0.11932765253109254,1.2274453056379246,0.03624841971566701,0.4916822906703612,0.45081477143098153,0.5148348750489447,1.23,1.23,1.24,1.03,1.2007223435474512,39546.99899999997,6711.921999999996,9127.49300000001,1.3598925911236774,0.16972013476926534,0.48748220270074627,0.23080115383723598,0.9152459995622048
Homebuilding,171,1.1397794466928413,0.12975439984608872,0.6846716256620489,0.28509702105698664,0.0695,0.19464553872415333,0.05235435,0.31532837433795113,0.10534796795444518,0.9748955450608979,0.28268847931952984,3.448656794955373,4.031927475206799,0.46055417300671947,0.8462019761066913,0.13200754645582835,0.3301512358879997,0.28509702105698664,0.4537324449217447,0.74,0.75,0.91,1.37,0.9489791090121796,46873.23,11032.781000000003,8426.784000000001,0.7637950939114988,0.23537488242222698,0.23619405576868518,0.17977818042409283,0.18155243787632108
Hospitals/Healthcare Facilities,231,0.7679402317477074,0.10008163049346705,0.6601699527045994,0.31837828004373,0.0695,0.15518125789153106,0.05235435,0.33983004729540056,0.0838624665060913,0.5707105333941709,0.16987599222641506,3.3595714492340583,4.520593061344284,0.5147614578688062,0.5533628331657751,0.03039667083981135,0.3595903612995441,0.31837828004373,0.19677736444308325,0.56,0.5,0.73,0.74,0.6201421066788342,20510.43500000001,4400.962999999998,4143.962999999997,0.9416036899196832,0.21457189962085135,0.22503947832599397,0.2020416924360695,0.21712295991535868
Hotel/Gaming,650,0.9705863973229032,0.11625279450636768,0.6394399152179693,0.3499130792336531,0.0695,0.08360157027839987,0.05235435,0.3605600847820307,0.09321356593771186,0.7452374087131339,0.19339082233829463,3.8535303780316177,5.018782099313255,0.563868592186843,0.6812269375014792,0.08589272420205946,0.35867671029700754,0.3499130792336531,0.9438908209572758,0.72,0.68,0.81,0.95,0.7810474817426268,28485.17900000002,6619.682000000005,6797.532000000003,1.026866849495187,0.23239039501910805,,0.23863399278621344,
Household Products,589,1.0240740179746777,0.12052110663437927,0.8771140135072771,0.3789198008021104,0.0695,0.11695986517649924,0.05235435,0.12288598649272287,0.11214436749935422,0.959250721543237,0.19091290014619614,5.024546381143797,5.36409020653119,0.14010263728582345,0.926311712786203,0.03433826841854432,0.4349820087100671,0.3789198008021104,0.1162959680212393,0.94,0.96,0.74,1.0,0.9198501443086474,68309.06399999994,14791.031000000006,17488.767000000007,1.1823899902582855,0.21653101556185894,0.22687673030480665,0.2560241053808031,0.27097137443442404
Information Services,242,1.4107202256089806,0.15137547400359663,0.876918753289192,0.40765639840290036,0.0695,0.15757329020462577,0.05235435,0.123081246710808,0.13918783061052845,1.341638572668401,0.2759207862807698,4.8624048617460245,5.112772562823405,0.14035649967474015,1.2758263973728798,0.04905358017891997,0.42563736147975345,0.40765639840290036,0.25745867685391655,1.12,1.05,1.32,1.23,1.2123277145336804,56855.93100000003,11270.604999999987,12729.625,1.1294535652700113,0.19823094621386078,0.21906861729917568,0.2238926489480929,0.2492450325695316
Insurance (General),206,0.6906668147572236,0.09391521181762644,0.7081172141589045,0.2527216619310413,0.0695,0.15161157710226905,0.05235435,0.2918827858410955,0.08178431168834083,0.6092906981965142,0.20925143361109275,2.9117635548864156,3.300655115419053,0.4121955800605573,0.5270226342984654,0.13502268152387734,0.2681367395906554,0.2527216619310413,0.12477704640831966,0.58,0.54,1.33,0.72,0.7558581396393029,88714.46699999999,18272.88499999999,13041.6,0.7137132423259932,0.20597412821067834,0.20747927907547703,0.14700646288051308,0.15472401914574496
