,number_of_firms,beta,cost_of_equity,ede,std_dev_in_stock,cost_of_debt,tax_rate,aftertax_cost_of_debt,dde,cost_of_capital,cost_of_capital_local_currency,average_unlevered_beta,average_correlation_with_the_market,total_unlevered_beta,total_levered_beta,de_ratio,unlevered_beta,cashfirm_value,hilo_risk,standard_deviation_of_equity,standard_deviation_in_operating_income_last_10_years,beta_2019,beta_2020,beta_2021,beta_2022,average_beta_201923,total_taxable_income,total_taxes_paid_accrual,total_cash_taxes_paid,cash_taxesaccrual_taxes,average_across_only_moneymaking_companies,aggregate_tax_rate,average_across_only_moneymaking_companies,aggregate_tax_rate
Insurance (General),2,1.9957335040810493,0.2329848699470861,0.42741606512601316,0.43250742291643407,0.0819,0,0.05733,0.5725839348739868,0.1324077133330051,0.15461178614345594,1.1226067306894978,0.21710206736183774,5.170870753701675,9.192604788764255,1.3396406489895847,1.029923930353233,0.08256034620364294,0.4722917843516927,0.43250742291643407,1.402262197678733,0.68,0.31,1.33,0.04,0.6965213461378996,0,0,11.83,,,,,
Insurance (Life),7,1.2990179689213628,0.1651944483760486,0.9888301516268004,0.22139956377848255,0.0742,0.12448480461289801,0.05194,0.011169848373199565,0.16392941336009778,0.18675155872009963,1.3498741645691907,0.3098442646854746,4.356621433478715,4.192486732778502,0.011296023240010609,1.2888269356094655,0.045224385029406254,0.2302797779415308,0.22139956377848255,0.3120608937480093,1.1,0.64,1.17,1.42,1.135974832913838,4626.7,1328.26,134.57,0.10131299594958817,0.2870858279119027,0.30691807137939453,0.029085525320422762,0.029886512536922292
Insurance (Prop/Cas.),2,1.6260073098247987,0.1970105112459529,0.9942846065561091,0.24522379780062248,0.0742,0.11031969653363277,0.05194,0.005715393443890937,0.19618137619707587,0.21963591298525365,1.8667378864076332,0.33618080128895134,5.552779573522255,4.836704843318005,0.005748246936747096,1.6194908465164939,0.1324487179970101,0.23363147559590564,0.24522379780062248,0.8036310303530729,1.22,0.51,1.19,1.63,1.2833475772815264,252.29999999999998,42.193999999999996,82.6,1.9576243067734749,0.16723741577487117,0.16723741577487117,0.3273880301228696,0.3273880301228696
Investments & Asset Management,96,0.63913592274821,0.10098792528340084,0.8257313864251111,0.39045362338115686,0.0819,0.14322736122627291,0.05733,0.17426861357488888,0.09337971917270649,0.11481853719570045,0.574967963203818,0.14061444781276686,4.08896789872836,4.54530763154041,0.21104758331805767,0.5568679745665636,0.03147999505293885,0.4014250163650536,0.39045362338115686,1.0782510209760428,0.52,0.39,0.55,0.55,0.5169935926407636,1574.6689999999996,338.4059999999999,302.66400000000016,0.8943813052960061,0.21490611677755767,0.21691491555865275,0.19220801323960796,0.19386600837047363
Machinery,149,1.06471026162881,0.1423963084564832,0.9454016243293601,0.3682406282815568,0.0819,0.1870156898663628,0.05733,0.054598375670639854,0.1377518261904616,0.16006068552752928,1.054070244348252,0.17354758078900606,6.07366717274935,6.134976107349216,0.05775151455802742,1.0233406316579015,0.02915328732133124,0.37254590951610966,0.3682406282815568,0.36593707551823657,0.86,0.54,1.01,1.13,0.9188140488696505,1313.9250000000002,329.18999999999994,265.9859999999997,0.8080014581244866,0.25053941435013405,0.2566968309478314,0.20243621211256324,0.20846898899758734
Metals & Mining,39,1.2055440105577309,0.15609943222726722,0.7426217130722809,0.4188802811438193,0.0819,0.19871267861796152,0.05733,0.25737828692771914,0.13067832495978973,0.15284848819429553,1.0351938274591044,0.1686065409663036,6.139701470217518,7.150042955917479,0.3465806108239498,0.9701736477483782,0.06280966712322752,0.42905885815278094,0.4188802811438193,0.5287342983988337,0.96,0.73,0.82,1.08,0.9250387654918208,8634.207000000004,2527.3349999999996,1633.1880000000003,0.6462095448367552,0.2927118842529486,0.2927379412526664,0.18915321349140687,0.18922358439280929
Office Equipment & Services,13,0.8810525563141972,0.12452641372937139,0.9273943784928551,0.4607993290097501,0.0819,0.22459717441508087,0.05733,0.07260562150714489,0.11964757634749913,0.14160145039352834,0.8775655848238868,0.1339716756369775,6.5503814940840375,6.5764091710070245,0.07828990900844056,0.8352769280295964,0.04818859983299944,0.4770647979689447,0.4607993290097501,0.7973053664668805,0.43,0.76,0.71,0.84,0.7235131169647773,21.922000000000004,4.72,3.9190000000000005,0.8302966101694916,0.21530882218775654,0.22152584703831105,0.1787701852020801,0.1846755572310447
Oil/Gas (Integrated),1,1.4237018715270562,0.17732619209958256,0.5367728801813378,0.225626339487265,0.0742,0.2654143612631064,0.05194,0.46322711981866216,0.11924390746826344,0.14118986643822917,0.9783457902145843,0.2664582518894845,3.671666324000205,5.34305791406883,0.8629853275414555,0.887545032887256,0.0928104952620206,0.2388451443569554,0.225626339487265,0.502715630810655,1.58,1.18,0.99,1.25,1.1956691580429168,6542.6,1736.5,1849.7,1.0651885977541031,0.2654143612631064,0.2654143612631064,0.28271635129764927,0.28271635129764927
Oil/Gas (Production and Exploration),6,1.2601234186054662,0.16141000863031185,0.43475111794723176,0.348740028988477,0.0819,0.11965997822874948,0.05733,0.5652488820527682,0.10257890010798561,0.12419809422774986,0.7170735115603526,0.1646175792057118,4.355995969690897,7.654853295046774,1.3001665981256332,0.6597102010824049,0.07999641536489778,0.3721403991707253,0.348740028988477,1.1496795172758816,0.86,0.54,0.64,1.27,0.8054147023120706,1557.46,380.512,261.67199999999997,0.6876839626608359,0.24431574486664184,0.2944639090102345,0.16801201957032602,0.20087636605939266
Oil/Gas Distribution,11,0.8820370446176817,0.12462220444130043,0.8220829790401682,0.371763399323628,0.0819,0.12960882437354104,0.05733,0.17791702095983175,0.11264977589328429,0.13446643816570147,0.9110829904265221,0.14627304839151148,6.22864567632402,6.030072213008368,0.21642221709487355,0.7659925764467134,0.15925049145290798,0.3998453512083224,0.371763399323628,0.6261953134254604,0.97,0.64,1.03,1.09,0.9282165980853044,915.0559999999998,148.83000000000004,203.29399999999998,1.365947725592958,0.16264578342746244,0.1608489123297073,0.22216563795002714,0.222866345311611
Oilfield Svcs/Equip.,22,1.1753302451963452,0.1531596328576044,0.7340719270981249,0.35216514521453934,0.0819,0.17126390334946226,0.05733,0.26592807290187515,0.12767584326488746,0.1497871343092969,0.9578424830835928,0.20652789917981715,4.637835793069441,5.6909030201920725,0.3622643273570219,0.9375752085946364,0.021159297950232643,0.38894393528638865,0.35216514521453934,0.7969113265985014,1.11,1.13,1.22,1.31,1.1455684966167188,14989.230999999998,3761.987000000001,1801.7799999999997,0.47894370714199686,0.2509793197529614,0.24601973026555105,0.12020496581845994,0.13224116099897865
Packaging & Container,79,0.890249944429256,0.1254213195929666,0.67870851384611,0.400483176325303,0.0819,0.17594393986454318,0.05733,0.32129148615389,0.10354415832676286,0.12518227907826796,0.6949749586603011,0.13735732911037968,5.059613223127123,6.481270058140512,0.4733865563777788,0.6686717819021122,0.03784766117169668,0.4167039009822951,0.400483176325303,0.29964023489781777,0.78,0.51,0.72,0.83,0.7069949917320603,516.6730000000001,121.73199999999997,110.10799999999999,0.9045115499622122,0.2356074344895126,0.28290974603577773,0.21310964575272942,0.25896918467089064
Paper/Forest Products,50,0.6896748651642124,0.10590536438047786,0.7988791429076603,0.3481388397265155,0.0819,0.17032448956389232,0.05733,0.20112085709233973,0.09613584546270344,0.11762870517765833,0.5999979732045353,0.151503178115938,3.960299583586201,4.55221384621013,0.25175379640069856,0.5863447103781885,0.02275551491186871,0.3782934316554111,0.3481388397265155,0.4304812979329286,0.51,0.42,0.64,0.95,0.623999594640907,669.8010000000003,181.505,120.66800000000002,0.6648191509875763,0.2709834712101056,0.27343161405237415,0.1801550012615687,0.18292037745859696
Power,30,1.084083589769622,0.1442813332845842,0.6923142544645995,0.3333544567034018,0.0819,0.1687696124250113,0.05733,0.3076857455354005,0.11752764747761982,0.1394399542909064,0.8424999994028688,0.18018836400136717,4.675662627118787,6.016390657508809,0.4444307531604255,0.8268494599915782,0.01857630791974256,0.31098523760431207,0.3333544567034018,0.7606058486020072,0.83,0.43,0.65,0.8,0.7104999998805738,11314.667999999996,2292.822,1774.0630000000003,0.7737465010367138,0.20264156226236607,0.2101359324014992,0.15679319976511913,0.16154600410024536
Precious Metals,1,3.211635366030389,0.35129212111475683,0.990418278975493,0.46416632975625155,0.0819,0,0.05733,0.00958172102450705,0.3484754580784629,0.37491615333490325,3.205685509543092,0.3619392214170772,8.856971888794144,8.873410716462507,0.009674418604651163,3.1900321714183653,0.0048829924451815,0.4583795782463929,0.46416632975625155,,0.69,0.21,0.32,1.94,1.2731371019086186,0,0,0.002,,,,,
Publishing & Newspapers,25,0.7421928546491255,0.11101536475735992,0.784060571842264,0.35353322066355336,0.0819,0.14697499071121212,0.05733,0.21593942815773604,0.09942257779121613,0.1209798832381026,0.6574422536897178,0.14888856056709285,4.415666664958173,4.984888374380349,0.275411665772652,0.6222335832796176,0.05355401210144446,0.41713616867745756,0.35353322066355336,0.40612797673741896,0.68,0.55,0.73,0.78,0.6794884507379436,155.366,39.11000000000001,40.278,1.0298644847864995,0.2517281773360967,0.3369857173310596,0.2592459096584838,0.28620763163504587
R.E.I.T.,4,0.729924568101483,0.1098216604762743,0.7499297842461381,0.1026852384655232,0.0742,0.12918695825723117,0.05194,0.2500702157538619,0.0953471811527806,0.1168245768616587,0.5990284300938258,0.2158123864993385,2.7756906812003668,3.382218138363065,0.33345817302781655,0.5917887997203356,0.012085620664709135,0.1273506978152886,0.1026852384655232,0.8782005036115369,,0.56,1.16,0.78,0.7747571075234565,236.1,55.716,38.9,0.6981836456314164,0.23598475222363408,0.2156675324675325,0.16476069462092333,0.20207792207792208
Real Estate (Development),137,0.8814704126444981,0.12456707115030967,0.7718306664764945,0.4385246289925626,0.0819,0.12696805227571703,0.05733,0.22816933352350555,0.10922563343787099,0.1309751556621428,0.7544773245660898,0.1510095365686703,4.996223031404362,5.837183747952613,0.2956209741770532,0.7303381250420059,0.03199459909277812,0.4299475667856275,0.4385246289925626,0.3348753589226206,0.69,0.57,0.57,0.68,0.6528954649132179,1139.0080000000007,251.574,212.18499999999995,0.8434297661920546,0.2208711440130358,0.25947380708406514,0.18628929735348637,0.24402291355434952
Real Estate (General/Diversified),15,1.5794156834860629,0.1924771460031939,0.8969082076662126,0.3534904905831803,0.0819,0.15479412968200643,0.05733,0.1030917923337874,0.1785445844929286,0.201653301835927,1.5000481450950496,0.2562721314934702,5.853340885539365,6.16304111680714,0.11494129661499691,1.4618007888424032,0.02549741911798633,0.36735067961810697,0.3534904905831803,0.3043544009193327,1.18,1.14,1.17,1.21,1.24000962901901,503.63300000000004,78.079,43.534,0.5575634933849051,0.1550315408243701,0.1845578354092705,0.08643992748688031,0.0873177287040937
Real Estate (Operations & Services),30,0.7657312472952159,0.11330565036182451,0.8236279367237905,0.3586130771660186,0.0819,0.1515612598135358,0.05733,0.17637206327620947,0.10343310941428181,0.12506905273613023,0.6794002963594857,0.1394771156424811,4.8710520950331295,5.490013496249804,0.2141404576170382,0.6659121365393263,0.01985303788125299,0.32010969830420016,0.3586130771660186,0.5532424715803412,0.5,0.25,0.52,0.64,0.5178800592718972,75.04399999999997,20.385999999999992,15.015999999999996,0.7365839301481409,0.2716539630083684,0.35745078433622357,0.20009594371302172,0.24613568934712401
Recreation,11,0.39658476396369463,0.07738769753366749,0.792677547095762,0.4348852977103557,0.0819,0.07308510496376697,0.05733,0.207322452904238,0.07322928648137626,0.09427299798101085,0.3413824345308088,0.10366375502204149,3.293170640579462,3.825683951728074,0.2615470233310288,0.33521299182761394,0.018071939499974765,0.46400307933045454,0.4348852977103557,3.780559093902808,0.54,0.61,0.74,0.53,0.5522764869061618,69.978,4.803,1.484,0.30897355819279615,0.06863585698362343,0.08063606454645153,0.021206664951842008,0.023249255835813883
Reinsurance,1,1.7665631193973943,0.21068659151736646,1,0.2946567642116029,0.0819,0.34766987213357287,0.05733,0,0.21068659151736646,0.23442554429221674,6.863386621573471,0.26267851073127396,26.128466323592303,6.72519085965364,0,1.7665631193973943,0.7426105774305922,0.31351351351351353,0.2946567642116029,0.9532905795323456,0.78,1.21,6.75,10.51,5.222677324314693,946.3,329,256.2,0.7787234042553192,0.34766987213357287,0.34766987213357287,0.2707386663848674,0.2707386663848674
Restaurant/Dining,13,1.204199594180716,0.15596862051378366,0.9020565190599764,0.38199145959921255,0.0819,0.15379528100525888,0.05733,0.09794348094002359,0.14630761066554165,0.1687842304825129,1.1300519817906334,0.19553633670957368,5.779242880411929,6.15844407461356,0.10857798693377815,1.1191398293434494,0.009656327870770342,0.37774559216916287,0.38199145959921255,2.0156746024818304,0.93,1.44,0.78,0.54,0.9640103963581266,161.419,26.136,27.798,1.0635904499540862,0.16191402499086227,0.167748429162442,0.17221021069390838,0.20572976413383756
Retail (Automotive),4,0.3862917421365104,0.07638618650988246,0.8902748282093655,0.3187575881449727,0.0819,0.11535326086956521,0.05733,0.10972517179063446,0.07429524317141123,0.09535985578261519,0.3677795372411074,0.03162277660168379,11.630210144846185,12.215617464658111,0.12324865121855427,0.3556116801787905,0.033084649444049805,0.29235701727117397,0.3187575881449727,0.5052454150002115,0.73,0.35,0.39,0.58,0.4835559074482215,3.685,0.963,1.2009999999999998,1.2471443406022844,0.26132971506105834,0.26132971506105834,0.32591587516960646,0.32591587516960646
Retail (Building Supply),2,1.4095328919710397,0.17594755038878215,0.8713402061855671,0.41522142031068543,0.0819,0.12052980132450332,0.05733,0.12865979381443293,0.16068624081298835,0.1834447945544193,1.3024663349756214,0.17260245052708972,7.546047758871193,8.16635504111696,0.14765735920492193,1.2774912073152642,0.019175257731958766,0.37252441037823947,0.41522142031068543,1.3147281928371952,0.33,0.56,0.71,0.84,0.7484932669951243,8.84,1.82,1.1429999999999998,0.6280219780219779,0.2058823529411765,0.2058823529411765,0.12929864253393664,0.12929864253393664
Retail (Distributors),239,0.5158065356112956,0.08898797591497906,0.9025282213747886,0.41624875693111224,0.0819,0.12491322177655974,0.05733,0.09747177862521139,0.08590221669487194,0.10719441702222232,0.48648746989423053,0.1174051052538184,4.143665378456005,4.393391024148159,0.10799859363592663,0.4795528149027433,0.014254539778783831,0.4593335232479287,0.41624875693111224,0.6906413365574008,0.39,0.44,0.5,0.46,0.4552974939788461,813.1030000000003,230.688,147.807,0.6407225343320849,0.2837131335144501,0.29661383932107777,0.18178139792867562,0.19514123965589156
Retail (General),5,1.057754071819077,0.1417194711879962,0.3960103018254111,0.3156445060832901,0.0819,0.04186046511627907,0.05733,0.6039896981745889,0.0907490999560452,0.1121363372100852,0.512628357996795,0.16062586454626585,3.191443416941984,6.585203913498047,1.5251868332477607,0.5115778311950172,0.0020492951382613416,0.458072054010567,0.3156445060832901,20.217703884871046,1.22,0.68,1.34,1.43,1.036525671599359,22.19,2.07,1.864,0.9004830917874397,0.09328526363226677,,0.08400180261378999,
Retail (Grocery and Food),5,0.7561839425888792,0.11237669761389794,0.9968957046401649,0.38114372216701486,0.0819,0.10313304711360054,0.05733,0.003104295359835141,0.11220581640592087,0.13401377359035083,0.7578867012143597,0.1970848704730253,3.845483924744444,3.836844202063582,0.0031139620176773262,0.7545392180627525,0.004416864877353796,0.4062460761815282,0.38114372216701486,1.5407032482637024,1.64,0.86,0.56,0.63,0.8895773402428719,368.56600000000003,83.351,89.017,1.0679775887511846,0.2261494549144522,0.2261533285215796,0.24152254955693142,0.24153827786249596
Retail (Online),13,1.483175734558938,0.18311299897258468,0.9778887999217366,0.4448479749901087,0.0819,0.10778917070393357,0.05733,0.022111200078263393,0.18033178591585786,0.2034755464240119,1.4918942118028564,0.20196298949158878,7.386968352758464,7.343799664941622,0.0226111599601437,1.4600660831283414,0.021334038581765597,0.4705488014972735,0.4448479749901087,,1.26,1.23,1.62,0.88,1.296378842360571,195.15200000000002,15.117000000000003,30.163000000000004,1.9953033009194945,0.0774626957448553,0.17174226828518022,0.15456157251783226,0.3568656681100779
Retail (Special Lines),28,1.0387100102354028,0.13986648399590468,0.8656040798808089,0.38017190805270007,0.0819,0.1887378934481388,0.05733,0.1343959201191911,0.12877391728587217,0.15090673919343822,0.9473655699633488,0.18042618193108897,5.25071006781699,5.7569804953924155,0.15526257701754026,0.9368857076923514,0.011062110132842144,0.40442153506472217,0.38017190805270007,2.3316188868343524,1.33,0.79,0.64,1.12,0.96547311399267,214.83300000000003,56.859,56.515,0.993949946358536,0.26466604292636603,,0.2630647991695875,
Rubber& Tires,16,1.265009592764102,0.16188543337594713,0.8306499419115662,0.3241214139406342,0.0819,0.1826817241491621,0.05733,0.16935005808843384,0.14417896466026908,0.16661384632027443,1.1219221909220582,0.19673265405129403,5.702775659344991,6.430094682880029,0.20387656646157135,1.1070224390548151,0.01328055723275935,0.39632249530862135,0.3241214139406342,0.32816423781178705,0.85,0.6,1.21,1.49,1.0543844381844116,510.21999999999997,129.32700000000003,121.47299999999998,0.9392702219954067,0.25347301164203684,0.3001625148004552,0.23807965191486025,0.2820165765096464
Semiconductor,8,2.081026285187286,0.24128385754872292,0.9281333722290961,0.5517693124812344,0.0857,0.11788711234441789,0.059989999999999995,0.07186662777090391,0.22825487937111757,0.2523383083783943,1.9836144211648226,0.13031260822227975,15.221968528028288,15.969493002838151,0.07743135838150289,1.9740300076998523,0.0048317925916984365,0.5064765478436518,0.5517693124812344,14.82849640110446,0.74,0.73,1.16,1.77,1.2767228842329643,3.239,0.6859999999999999,0.4,0.5830903790087464,0.21179376350725532,0.48864592094196807,0.12349490583513431,0.33641715727502103
Semiconductor Equip,1,1.8796577631473141,0.22169070035423366,0.9683765841882921,0.3649262939279657,0.0819,0.2245689655172414,0.05733,0.03162341581170791,0.2164930535838282,0.24034585855606005,1.85220423059725,0.044721359549995794,41.416545678281466,42.03042532832593,0.03265611367318958,1.8376503989241202,0.007857573928786964,0.2811704834605598,0.3649262939279657,1.2372784378400332,,,2.58,3.2,2.54406807686575,23.2,5.21,6.9,1.324376199616123,0.2245689655172414,0.2245689655172414,0.2974137931034483,0.2974137931034483
Shipbuilding & Marine,20,1.245141226092186,0.15995224129876967,0.7726803113694055,0.4386170659416945,0.0819,0.1255669865630032,0.05733,0.22731968863059449,0.1366241853601596,0.1589109340927115,1.0660587710181157,0.16579258300066826,6.4300751681624915,7.510234797941275,0.2941962999260592,1.032508997416066,0.0314708480565371,0.41679489168699624,0.4386170659416945,0.316938599560159,0.92,0.65,1.05,1.02,0.9412117542036231,943.224,88.66000000000003,129.397,1.4594743965711703,0.09399676004851448,0.09851897867951605,0.13718586465145075,0.14077698950023007
Shoe,12,0.3987485835238544,0.07759823717687103,0.9617701568789827,0.33130119483757803,0.0819,0.1664595262165751,0.05733,0.03822984312101729,0.07682338564925968,0.09793756968159806,0.3906975661464086,0.14916387534622016,2.6192505741726757,2.673224885035536,0.03974945869091642,0.3879539128995095,0.0070224477566133495,0.3771455225140727,0.33130119483757803,0.4651966762567244,1,1.01,1.05,1.08,0.9061395132292818,136.19799999999998,37.824999999999996,28.110000000000003,0.7431592861863848,0.27772067137549744,0.27817420534292625,0.20639069589861825,0.2072153093117887
Software (Entertainment),7,1.1856349576007208,0.15416228137455013,0.99263634652301,0.38610850108824757,0.0819,0.16397689836383883,0.05733,0.007363653476989973,0.15344924200912155,0.17606589381322202,1.219451180957866,0.17431171555479702,6.995807350507755,6.801808781624905,0.007418279113779487,1.179510003504278,0.03275340421763725,0.3685870100813712,0.38610850108824757,0.8950857201601611,0.92,0.59,1.16,1.13,1.0038902361915731,973.768,110.51,71.282,0.6450275993122794,0.11348699074112109,0.11399968702899924,0.07320224119092021,0.07338552262039089
Software (Internet),7,0.48524858120292436,0.08601468695104454,0.9777480274589113,0.4414373337325649,0.0819,0.04816143722791655,0.05733,0.022251972541088683,0.08537639608466017,0.10665828620396711,0.4883816218840528,0.08754566787671368,5.578592678872665,5.542805177821893,0.022758391647099262,0.4776393685323319,0.02199561341043097,0.4694856523433635,0.4414373337325649,38.253387323238734,0.33,1.04,0.52,0.65,0.6056763243768105,6.983,1.616,0.29100000000000004,0.1800742574257426,0.2314191608191322,0.2433408577878104,0.04167263353859373,0.043792325056433413
Software (System & Application),74,1.1671560519201296,0.1523642838518286,0.9701209519667708,0.44344889577218205,0.0819,0.15606682442796727,0.05733,0.02987904803322916,0.14952474991981626,0.17206445089863598,1.2407987165306618,0.1554501368881144,7.981972492077826,7.508234314133753,0.030799301852675133,1.1425237972072932,0.079202950498007,0.3966328595935344,0.44344889577218205,0.35057426026616506,0.79,0.83,1.2,1.2,1.0521597433061323,940.959,237.16699999999997,230.74999999999997,0.972943116032163,0.2520481763817552,0.2674623354764718,0.24522853811908912,0.25995928524997214
Steel,157,1.1514794266256503,0.15083894821067578,0.6946626120930428,0.40424857201362974,0.0819,0.17387061689481043,0.05733,0.3053373879069572,0.1222871702181011,0.14429280100669106,0.9316469962073162,0.15880427133865305,5.866636888000082,7.250934857854667,0.4395477496434779,0.880549072376141,0.05484687230162501,0.3973726325476617,0.40424857201362974,0.8872356898275942,0.81,0.54,0.74,1.01,0.8063293992414632,12115.694000000001,3072.963999999998,2991.0189999999984,0.9733335632958929,0.25363499606378287,0.2573001254700473,0.24687145449530157,0.2529886045047755
Telecom (Wireless),3,1.8613970815742962,0.21991393603717901,0.4856861519940592,0.3505688529608227,0.0819,0.10131643271178153,0.05733,0.5143138480059408,0.13629476626994572,0.15857505580465037,1.0837985966404802,0.2601682996555345,4.165759618198837,7.154588333931555,1.0589427882478144,1.0689943679451575,0.013659575442533605,0.3312335812335812,0.3505688529608227,0.7909112183769569,0.68,0.58,0.73,0.94,0.8027597193280961,1909.2,580.3,380.07000000000005,0.6549543339651905,0.3039492981353446,,0.19907291011942177,
Telecom. Equipment,20,1.1974153676484665,0.1553085152721958,0.8181252952234822,0.40275333998698254,0.0819,0.11722419501675685,0.05733,0.1818747047765178,0.13748870173262365,0.1597924017665966,1.0824783978938453,0.17773990895386915,6.090238282809029,6.7368964837224325,0.22230666358609066,1.036171835147071,0.042778278843136064,0.3818426451371146,0.40275333998698254,1.391117121028098,0.77,0.75,1.2,1.28,1.0164956795787692,57.074,13.072,30.266000000000002,2.3153304773561816,0.229035988365981,,0.5302940042751516,3.8340511781099584
Telecom. Services,13,1.1145609245076868,0.14724677795459792,0.5922059565090187,0.41913683167220067,0.0819,0.0966020803085379,0.05733,0.40779404349098125,0.11057925149481172,0.13235531524961175,0.7602941529099632,0.16286466933869018,4.668257124133352,6.843478877483659,0.6886017254788804,0.7520546390396954,0.010837271125565996,0.4232383989760055,0.41913683167220067,0.7089720322558708,0.41,0.21,0.96,1.01,0.6700588305819926,1155.6670000000001,285.689,294.00999999999993,1.0291260776578723,0.24720702416872678,0.6072839597906736,0.2544071951522367,0.6241786703748127
Tobacco,5,0.6465216523023639,0.10170655676902,0.9985284202882264,0.2434573658740396,0.0742,0.20366835139927225,0.05194,0.0014715797117735852,0.1016333213137539,0.12323397467284702,0.653471109686671,0.18856577948714148,3.4654809131538733,3.428626626001623,0.0014737484500929945,0.6458553724544666,0.01165428298101204,0.30500193307324325,0.2434573658740396,1.5463676640157538,0.92,0.69,0.94,1.02,0.8446942219373341,3027.6200000000003,756.834,682.2009999999999,0.9013878869078291,0.24997654923669413,0.24997654923669413,0.22532583349297464,0.22532583349297464
Transportation,38,1.1253526734430557,0.1482968151260093,0.8026187133204852,0.41032010456917534,0.0819,0.12696897214323852,0.05733,0.19738128667951482,0.13034166811130005,0.15250523023112939,0.9981716296242235,0.1607124277782145,6.2109174966961165,7.002275362276642,0.24592161060254356,0.9600796412628116,0.038161762196900026,0.4060961859261101,0.41032010456917534,0.29844836218346704,0.68,0.41,0.77,0.99,0.7696343259248447,452.5219999999999,86.918,105.12999999999997,1.2095308221542138,0.19207463946504266,0.7311947998163367,0.23232019658712724,0.946494647664148
Transportation (Railroads),1,1.4774551454532636,0.18255638565260254,0.9833845597541132,0.24372825346779461,0.0742,0.2429805615550756,0.05194,0.016615440245886792,0.18038613690165803,0.20353096311541585,1.5786324440624715,0.322490309931942,4.895131405330052,4.581393920843898,0.016896177676453825,1.4601850630670048,0.07503163984812873,0.19880239520958082,0.24372825346779461,0.20964610250038443,1.25,0.68,1.52,1.91,1.3877264888124945,185.2,45,48.1,1.068888888888889,0.2429805615550756,0.2429805615550756,0.259719222462203,0.259719222462203
Trucking,12,0.8356911683819065,0.1201127506835595,0.8358712839006955,0.4267350252369309,0.0819,0.19835052501203654,0.05733,0.16412871609930446,0.10980829842068415,0.13156924544854065,0.7443126721138946,0.13247516159545975,5.618507372625874,6.3082857066735425,0.19635644776953898,0.7347061636656638,0.012906549637194542,0.44351265465024653,0.4267350252369309,0.6435154049987791,1.88,0.78,0.71,0.7,0.9628625344227789,42.355999999999995,10.399,10.585,1.017886335224541,0.24551421286240438,0.2447560716059309,0.24990556237605066,0.2503133350675149
Utility (General),0,0,0.0388,,0,0.0742,0,0.05194,,,,,0,,,,,,0,0,,0.81,,,,0.81,0,0,0,,,,,
Utility (Water),1,1.7252720007572537,0.2066689656736808,0.8394135697238323,0.2847034547434526,0.0819,0.2073076923076923,0.05733,0.1605864302761677,0.18268715427500926,0.20587709847647995,1.7350738923857558,0.1673320053068151,10.369049777443202,10.310472270943297,0.19130787977254265,1.5215172353277067,0.12308216842823048,0.26890756302521013,0.38601599519105023,0.2073856550222983,0.81,0.81,2.37,2.21,1.5870147784771513,26,5.39,2.05,0.38033395176252316,0.2073076923076923,0.2073076923076923,0.07884615384615384,0.07884615384615384
Total Market,4149,0.9398011745482032,0.13024265428354018,0.7325256798582751,0.38601599519105023,0.0819,0.1629281844632029,0.05733,0.2674743201417249,0.11074039164932165,0.13251961501499454,0.7971380843824122,0.1569562326127496,5.0787284525945,5.987663942386591,0.3651398544737358,0.7484889676437565,0.06102972332120714,0.4012901790743676,0.38601599519105023,0.42878392354298667,0.74,0.58,0.81,0.9,0.7654276168764824,202902.87199999994,44531.47600000005,41403.407,0.9297560000032326,0.21947188603619205,0.23724491588255814,0.20405530287417523,0.22480586705890424
Total Market (without financials),3577,0.9628252153650713,0.13248289345502143,0.823806688647027,0.3825321922001151,0.0819,0.16534574987339856,0.05733,0.176193311352973,0.11924145629942402,0.14118736720725567,0.8646047974287592,0.15748141040617292,5.490202273390794,6.113897588812367,0.2138770099601193,0.8374476550438473,0.031409890930138566,0.39934147366044925,0.3825321922001151,0.4321072461183666,0.79,0.62,0.88,0.97,0.8249209594857518,145317.68299999996,34755.57900000005,29852.502,0.8589269078210424,0.23916964737182095,0.2637487606529962,0.20542924566172727,0.23012577759516217
